chapter,md_file,slide_id,slide_title,need_image,image_priority,image_role,image_type,concept_keywords_zh,concept_keywords_en,search_query_zh,search_query_en,preferred_source_type,avoid_source_type,license_requirement,suggested_caption_zh,insertion_position,layout_hint,reason,existing_image_detected,notes
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,44,4.3.4 线性回归的材料解释,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3.4 线性回归的材料解释,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.4 线性回归的材料解释的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,45,4.3.5 岭回归：加入正则化,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3.5 岭回归：加入正则化,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.5 岭回归：加入正则化的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归；欠拟合。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,46,4.3.6 岭回归代码示例,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3.6 岭回归代码示例,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.6 岭回归代码示例的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,47,4.3.7 偏差—方差权衡,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3.7 偏差—方差权衡,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.7 偏差—方差权衡的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：过拟合；欠拟合。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,48,4.3.8 随机森林回归,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3.8 随机森林回归,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.8 随机森林回归的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归；随机森林。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,49,4.3.9 决策树回归的基本思想,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3.9 决策树回归的基本思想,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.9 决策树回归的基本思想的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,50,4.3.10 随机森林代码示例,yes,medium,材料组织,microscopy,显微组织；晶粒；组织识别；金相；机器学习 材料性能预测,microstructure; SEM; EBSD; machine learning materials property prediction workflow,材料显微组织识别 图像 4.3.10 随机森林代码示例,materials microstructure recognition microscopy image machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.10 随机森林代码示例的教学示意图,right,右侧 40% 宽度,本页涉及材料组织相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：SEM。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,51,4.3.11 随机森林的特征重要性,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3.11 随机森林的特征重要性,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.11 随机森林的特征重要性的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：随机森林。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,52,4.3.12 支持向量回归 SVR,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3.12 支持向量回归 SVR,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.12 支持向量回归 SVR的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,53,4.3.13 SVR 的核函数思想,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3.13 SVR 的核函数思想,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.13 SVR 的核函数思想的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：过拟合。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,54,4.3.14 SVR 代码示例,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3.14 SVR 代码示例,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.14 SVR 代码示例的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：SVM。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,55,4.3.15 回归模型对比,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3.15 回归模型对比,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.15 回归模型对比的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归；随机森林。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,56,4.3.16 回归误差的物理解释,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3.16 回归误差的物理解释,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.16 回归误差的物理解释的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,57,4.3.17 回归建模常见错误,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.3.17 回归建模常见错误,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.3.17 回归建模常见错误的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,58,4.3.18 本节小结,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,59,4.4 分类模型,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.4 分类模型,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4 分类模型的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归；分类。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,60,4.4.1 分类问题的定义,yes,medium,材料组织,microscopy,显微组织；晶粒；组织识别；金相；机器学习 材料性能预测,microstructure; SEM; EBSD; machine learning materials property prediction workflow,材料显微组织识别 图像 4.4.1 分类问题的定义,materials microstructure recognition microscopy image machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.1 分类问题的定义的教学示意图,right,右侧 40% 宽度,本页涉及材料组织相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：显微组织。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,61,4.4.2 二分类与多分类,yes,medium,算法流程,algorithm_diagram,贝叶斯；概率分布；先验；后验；似然；概率；正态分布；条件概率；机器学习 材料性能预测,Bayes; machine learning materials property prediction workflow,贝叶斯定理 先验 后验 概率图示 4.4.2 二分类与多分类,Bayes theorem diagram probability prior posterior likelihood machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.2 二分类与多分类的教学示意图,bottom,底部横向流程图,本页涉及算法机理相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：概率。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,62,4.4.3 逻辑回归：分类中的线性模型,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.4.3 逻辑回归：分类中的线性模型,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.3 逻辑回归：分类中的线性模型的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归；分类。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,63,4.4.4 逻辑回归的材料解释,yes,medium,模拟结果,simulation,相场；相图；分子动力学；有限元；高通量；材料数据库；材料基因；机器学习 材料性能预测,CALPHAD; Materials Project; phase-field; phase diagram; DFT; machine learning materials property prediction workflow,材料信息学 CALPHAD 相图 高通量材料设计 4.4.4 逻辑回归的材料解释,materials informatics CALPHAD phase diagram high-throughput materials design machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.4 逻辑回归的材料解释的教学示意图,right,右侧 40% 宽度,本页涉及材料应用相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：相图。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,64,4.4.5 逻辑回归代码示例,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.4.5 逻辑回归代码示例,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.5 逻辑回归代码示例的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,65,4.4.6 混淆矩阵,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.4.6 混淆矩阵,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.6 混淆矩阵的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：分类。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,66,4.4.7 分类指标,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.4.7 分类指标,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.7 分类指标的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：分类。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,67,4.4.8 材料分类中的指标选择,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.4.8 材料分类中的指标选择,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.8 材料分类中的指标选择的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：分类。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,68,4.4.9 决策树分类,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.4.9 决策树分类,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.9 决策树分类的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：分类。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,69,4.4.10 信息熵与分类不确定性,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.4.10 信息熵与分类不确定性,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.10 信息熵与分类不确定性的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：分类。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,70,4.4.11 决策树的优点与风险,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.4.11 决策树的优点与风险,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.11 决策树的优点与风险的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：过拟合；随机森林。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,71,4.4.12 支持向量机分类,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.4.12 支持向量机分类,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.12 支持向量机分类的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：分类；SVM。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,72,4.4.13 软间隔 SVM,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.4.13 软间隔 SVM,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.13 软间隔 SVM的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：分类；过拟合；SVM。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,73,4.4.14 SVM 分类代码示例,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.4.14 SVM 分类代码示例,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.14 SVM 分类代码示例的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：分类；SVM。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,74,4.4.15 类别不平衡问题,yes,low,概念示意,schematic,4.4.15 类别不平衡问题；机器学习 材料性能预测,machine learning materials property prediction workflow; concept diagram,机器学习 材料性能预测 4.4.15 类别不平衡问题 教学示意图,machine learning materials property prediction workflow 4.4.15 类别不平衡问题 concept diagram open educational resource,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.15 类别不平衡问题的教学示意图,right,右侧 35% 宽度,本页包含较抽象的框架、流程或应用关系，可用简洁示意图辅助讲解。,no,低优先级，建议人工审核是否确有必要。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,75,4.4.16 分类模型对比,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.4.16 分类模型对比,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.4.16 分类模型对比的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归；分类；过拟合；随机森林；SVM。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,76,4.4.17 本节小结,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,77,4.5 聚类、降维与关联规则,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.5 聚类、降维与关联规则,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.5 聚类、降维与关联规则的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：监督学习；聚类。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,78,4.5.1 无监督学习的作用,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.5.1 无监督学习的作用,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.5.1 无监督学习的作用的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：监督学习。
